datetime,temp
01/01/2023,14.9
02/01/2023,14.1
03/01/2023,14
04/01/2023,13.6
05/01/2023,12.8
06/01/2023,14
07/01/2023,15.1
08/01/2023,15
09/01/2023,11.8
10/01/2023,12.3
11/01/2023,12.2
12/01/2023,10.3
13/01/2023,13.5
14/01/2023,13.6
15/01/2023,13.9
16/01/2023,13.2
17/01/2023,12.5
18/01/2023,14
19/01/2023,15
20/01/2023,15.4
21/01/2023,13.3
22/01/2023,13.3
23/01/2023,14.8
24/01/2023,16.6
25/01/2023,14.8
26/01/2023,13.3
27/01/2023,16.1
28/01/2023,18.4
29/01/2023,16.9
30/01/2023,14
31/01/2023,11.2
01/02/2023,12.1
02/02/2023,10.7
03/02/2023,11.4
04/02/2023,10.5
05/02/2023,13.2
06/02/2023,11.9
07/02/2023,9
08/02/2023,7.4
09/02/2023,8.9
10/02/2023,10.1
11/02/2023,9.9
12/02/2023,9
13/02/2023,10.3
14/02/2023,10.4
15/02/2023,9.2
16/02/2023,9.8
17/02/2023,11.3
18/02/2023,12.2
19/02/2023,13.6
20/02/2023,13.6
21/02/2023,13.5
22/02/2023,13.1
23/02/2023,12.3
24/02/2023,13.5
25/02/2023,13
26/02/2023,14.7
27/02/2023,17.9
28/02/2023,21.5
01/03/2023,22.2
02/03/2023,22.9
03/03/2023,19.6
04/03/2023,18.7
05/03/2023,25
06/03/2023,16.1
07/03/2023,14.9
08/03/2023,14.3
09/03/2023,14.6
10/03/2023,16.8
11/03/2023,18.7
12/03/2023,18.9
13/03/2023,19.1
14/03/2023,13.4
15/03/2023,13.3
16/03/2023,15.7
17/03/2023,17.3
18/03/2023,15.4
19/03/2023,14.7
20/03/2023,12.3
21/03/2023,13.5
22/03/2023,15.5
23/03/2023,18
24/03/2023,21
25/03/2023,18.5
26/03/2023,16.4
27/03/2023,15.7
28/03/2023,17.4
29/03/2023,15.6
30/03/2023,13.3
31/03/2023,12.2
01/04/2023,13.7
02/04/2023,16.6
03/04/2023,20.7
04/04/2023,23.7
05/04/2023,17.4
06/04/2023,17.3
07/04/2023,22.7
08/04/2023,23.8
09/04/2023,26.9
10/04/2023,23.6
11/04/2023,15.4
12/04/2023,12.3
13/04/2023,14.4
14/04/2023,17.5
15/04/2023,19.2
16/04/2023,19.9
17/04/2023,22
18/04/2023,25.3
19/04/2023,25.5
20/04/2023,18.7
21/04/2023,16.8
22/04/2023,18.3
23/04/2023,18.3
24/04/2023,19.5
25/04/2023,18.1
26/04/2023,18.9
27/04/2023,21.3
28/04/2023,18.6
29/04/2023,16.7
30/04/2023,16.6
01/05/2023,17.1
02/05/2023,18.7
03/05/2023,20.4
04/05/2023,25.2
05/05/2023,27.1
06/05/2023,21.9
07/05/2023,19.5
08/05/2023,18.7
09/05/2023,20.3
10/05/2023,22.3
11/05/2023,25.1
12/05/2023,23.7
13/05/2023,20.3
14/05/2023,21
15/05/2023,22.4
16/05/2023,25.9
17/05/2023,26.9
18/05/2023,21.4
19/05/2023,19.4
20/05/2023,19.8
21/05/2023,23.6
22/05/2023,27.7
23/05/2023,24.5
24/05/2023,26.5
25/05/2023,23.3
26/05/2023,24.4
27/05/2023,29.5
28/05/2023,24.6
29/05/2023,22.8
30/05/2023,24
31/05/2023,24.8
01/06/2023,29
02/06/2023,33.2
03/06/2023,26.4
04/06/2023,23.5
05/06/2023,22.7
06/06/2023,23
07/06/2023,24.7
08/06/2023,26.7
09/06/2023,30.6
10/06/2023,25.4
11/06/2023,24.1
12/06/2023,25
13/06/2023,24.2
14/06/2023,24.4
15/06/2023,23.7
16/06/2023,26.2
17/06/2023,28.7
18/06/2023,24.2
19/06/2023,22.9
20/06/2023,23.4
21/06/2023,25.8
22/06/2023,25.4
23/06/2023,26
24/06/2023,26.5
25/06/2023,26.5
26/06/2023,25.5
27/06/2023,25.3
28/06/2023,26.1
29/06/2023,25.5
30/06/2023,25.6
01/07/2023,26.4
02/07/2023,25.6
03/07/2023,26.4
04/07/2023,28.2
05/07/2023,27.4
06/07/2023,26
07/07/2023,26.1
08/07/2023,27
09/07/2023,27.3
10/07/2023,27.1
11/07/2023,27.8
12/07/2023,28
13/07/2023,28.9
14/07/2023,29.2
15/07/2023,29
16/07/2023,29.9
17/07/2023,30.7
18/07/2023,29.6
19/07/2023,28.8
20/07/2023,29.8
21/07/2023,28.8
22/07/2023,28.5
23/07/2023,29.8
24/07/2023,30.9
25/07/2023,30.4
26/07/2023,31
27/07/2023,31.2
28/07/2023,30.6
29/07/2023,28.2
30/07/2023,28.4
31/07/2023,28.7
01/08/2023,29.5
02/08/2023,30
03/08/2023,28
04/08/2023,27.4
05/08/2023,28.4
06/08/2023,29.1
07/08/2023,29.6
08/08/2023,28.3
09/08/2023,27.9
10/08/2023,27.5
11/08/2023,27.9
12/08/2023,28.5
13/08/2023,29.9
14/08/2023,28.4
15/08/2023,28.5
16/08/2023,28.5
17/08/2023,28.7
18/08/2023,28.9
19/08/2023,29
20/08/2023,28.4
21/08/2023,28.5
22/08/2023,27.9
23/08/2023,28.1
24/08/2023,27.7
25/08/2023,26.9
26/08/2023,27.4
27/08/2023,27.3
28/08/2023,26.8
29/08/2023,27.5
30/08/2023,27.8
31/08/2023,27.9
01/09/2023,28.2
02/09/2023,26.9
03/09/2023,26.7
04/09/2023,26.8
05/09/2023,28.3
06/09/2023,30.4
07/09/2023,30.3
08/09/2023,33.2
09/09/2023,29.3
10/09/2023,27.4
11/09/2023,29.8
12/09/2023,30.6
13/09/2023,26
14/09/2023,25.9
15/09/2023,25.9
16/09/2023,25.5
17/09/2023,25.4
18/09/2023,25.5
19/09/2023,25.2
20/09/2023,25.3
21/09/2023,26
22/09/2023,26.3
23/09/2023,27.3
24/09/2023,26.8
25/09/2023,25.8
26/09/2023,26.3
27/09/2023,26.3
28/09/2023,26.4
29/09/2023,27.5
30/09/2023,26.3
01/10/2023,25
02/10/2023,23.8
03/10/2023,23.9
04/10/2023,24.2
05/10/2023,25.5
06/10/2023,25.2
07/10/2023,23.8
08/10/2023,24.7
09/10/2023,23.9
10/10/2023,24.3
11/10/2023,22.8
12/10/2023,23.3
13/10/2023,22.9
14/10/2023,22.8
15/10/2023,22.3
16/10/2023,22
17/10/2023,22.2
18/10/2023,21.8
19/10/2023,21.8
20/10/2023,22.7
21/10/2023,23.3
22/10/2023,24.2
23/10/2023,24.6
24/10/2023,24.7
25/10/2023,25.7
26/10/2023,28.6
27/10/2023,28.2
28/10/2023,26.5
29/10/2023,26.4
30/10/2023,25.7
31/10/2023,26.1
01/11/2023,24.3
02/11/2023,23.8
03/11/2023,23
04/11/2023,24.3
05/11/2023,23.3
06/11/2023,22
07/11/2023,22.5
08/11/2023,21.8
09/11/2023,21
10/11/2023,21.3
11/11/2023,22
12/11/2023,25.1
13/11/2023,24.6
14/11/2023,20.7
15/11/2023,19
16/11/2023,19.5
17/11/2023,20.1
18/11/2023,19.7
19/11/2023,17.6
20/11/2023,15.8
21/11/2023,17.4
22/11/2023,18.5
23/11/2023,20.1
24/11/2023,18.5
25/11/2023,19.4
26/11/2023,20.1
27/11/2023,15.9
28/11/2023,14.7
29/11/2023,16.5
30/11/2023,16.2
01/12/2023,16.3
02/12/2023,16.8
03/12/2023,20.3
04/12/2023,22.1
05/12/2023,18.5
06/12/2023,17.6
07/12/2023,16.5
08/12/2023,17.4
09/12/2023,15.4
10/12/2023,16.2
11/12/2023,16.8
12/12/2023,15.6
13/12/2023,14.9
14/12/2023,15.5
15/12/2023,15.7
16/12/2023,16.9
17/12/2023,16
18/12/2023,15.7
19/12/2023,15.6
20/12/2023,17
21/12/2023,16.3
22/12/2023,15
23/12/2023,15.9
24/12/2023,16.1
25/12/2023,16.1
26/12/2023,18.2
27/12/2023,18.8
28/12/2023,15.8
29/12/2023,16
30/12/2023,16.1
31/12/2023,15.2
